Какая подходит людность;Насколько сильный голод;Важны ли часы работы после 20.00;Формат места;Важно ли наличие комфортных мест;Важно ли наличие фоновой музыки;Важно ли наличие Wi-Fi;У вас: перемена/большой перерыв/уже освободился;Ваш бюджет;Решение
Не принципиально;Сильный;Да;Кафе;Да;Нет;Нет;Большой перерыв;Средний;Rostic's (просп. Ленина, 51А)
Маленькая;Слабый;Нет;Кофейня;Нет;Да;Нет;Перемена;Средний;Точка (просп. Ленина, 47А)
Не принципиально;Сильный;Нет;Кафе;Да;Да;Да;Большой перерыв;Низкий;Минутка (просп. Ленина, 36)
Не принципиально;Сильный;Нет;Кафе;Да;Да;Да;Большой перерыв;Средний;Сибирские блины (просп. Ленина, 36)
Маленькая;Слабый;Нет;Кофейня;Да;Да;Да;Перемена;Средний;Starbooks (просп. Ленина, 36к9)
Маленькая;Слабый;Нет;Кофейня;Нет;Да;Нет;Большой перерыв;Средний;Белка (просп. Ленина, 36Б)
Не принципиально;Сильный;Да;Ресторан;Да;Да;Нет;Уже освободился;Высокий;Гербарий (просп. Ленина, 55)
Не принципиально;Сильный;Да;Кофейня;Да;Нет;Да;Большой перерыв;Средний;Baba Roma (просп. Ленина, 63)
Не принципиально;Сильный;Да;Ресторан;Да;Да;Нет;Уже освободился;Высокий;Вечный зов (улица Советская, 47)
Низкая;Сильный;Да;Столовая;Да;Нет;Да;Большой перерыв;Низкий;Укромное местечко (улица Советская, 59)
Не принципиально;Слабый;Да;Магазин;Нет;Нет;Нет;Перемена;Средний;Абрикос (Московский тракт, 17)
Не принципиально;Слабый;Да;Магазин;Нет;Нет;Нет;Большой перерыв;Низкий;Ярче! (улица Советская, 46)
Маленькая;Слабый;Нет;Кофейня;Нет;Нет;Да;Перемена;Средний;Xo bakery (просп. Ленина, 36к2)
Не принципиально;Сильный;Нет;Кафе;Нет;Нет;Да;Перемена;Средний;Кафе 2 корпуса (просп. Ленина, 36к2)
Не принципиально;Сильный;Да;Ресторан;Да;Да;Да;Уже освободился;Высокий;Ближе (улица Герцена, 1А)
Маленькая;Слабый;Да;Кофейня;Да;Да;Нет;Уже освободился;Средний;Тесто (просп. Кирова, 76А)
Не принципиально;Сильный;Да;Ресторан;Да;Да;Нет;Уже освободился;Высокий;Poly bistro (улица Советская, 78)
Не принципиально;Сильный;Да;Ресторан;Да;Да;Нет;Уже освободился;Высокий;Пешком постою (улица Советская, 80)
Не принципиально;Сильный;Нет;Столовая;Да;Да;Да;Большой перерыв;Средний;Столовая №1 (просп. Ленина, 36)
