Заведение;Широта;Долгота
Rostic's (просп. Ленина, 51А);122;56
Точка (просп. Ленина, 47А);118;88
Минутка (просп. Ленина, 36);68;52
Сибирские блины (просп. Ленина, 36);64;44
Starbooks (просп. Ленина, 36);61;47
Белка (просп. Ленина, 36Б);107;14
Гербарий (просп. Ленина, 55);123;39
Baba Roma (просп. Ленина, 63);119;14
Вечный зов (улица Советская, 47);139;14
Укромное местечко (улица Советская, 59);139;54
Абрикос (Московский тракт, 17);3;7
Ярче! (улица Советская, 46);148;8
Xo bakery (просп. Ленина, 36);48;71
Столовая 2 корпуса (просп. Ленина, 36);47;63
Ближе (улица Герцена, 1А);131;3
Тесто (просп. Кирова, 76А);150;133
Poly bistro (улица Советская, 78);150;142
Пешком постою (улица Советская, 80);151;148
Столовая №1 (просп. Ленина, 36);70;44
